"Classification"	"Sample"	"percentage"
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"CONTROL5"	0
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"CONTROL5"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"CONTROL5"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"CONTROL5"	0
"Actinobacteria"	"CONTROL6"	0.071
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"CONTROL6"	0.074
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"CONTROL6"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"CONTROL6"	0.181
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"CONTROL6"	0.037
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"CONTROL6"	0.078
"Alphaproteobacteria"	"CONTROL6"	0.049
"Bacilli"	"CONTROL6"	0.038
"Bacteroidia"	"CONTROL6"	0.015
"Betaproteobacteria"	"CONTROL6"	0.029
"Clostridia"	"CONTROL6"	0.019
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"CONTROL6"	0.016
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"CONTROL6"	0.035
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"CONTROL6"	0.21
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"CONTROL6"	0.073
"Flavobacteria"	"CONTROL6"	0.011
"Fusobacteria"	"CONTROL6"	0.007
"Gammaproteobacteria"	"CONTROL6"	0.014
"Negativicutes"	"CONTROL6"	0.004
"Other"	"CONTROL6"	0.004
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"CONTROL6"	0.005
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"CONTROL6"	0.002
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"CONTROL6"	0
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"CONTROL6"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"CONTROL6"	0.006
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"CONTROL6"	0.022
"Actinobacteria"	"CONTROL7"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"CONTROL7"	0.001
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"CONTROL7"	0
