taxon taxlevel rankID taxon daughterlevels total CONTROL1 CONTROL2 CONTROL3 CONTROL4 CONTROL5 CONTROL6 CONTROL7 CONTROL8 CONTROL9 CONTROL10 DISEASE1 DISEASE2 DISEASE3 DISEASE4 DISEASE5 DISEASE6 DISEASE7 DISEASE8 DISEASE9 DISEASE10
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium 6 0.1.2.1.2.1.3 Arcanobacterium 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus 6 0.1.2.1.2.1.4 Mobiluncus 0 63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Trueperella 6 0.1.2.1.2.1.5 Trueperella 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum 6 0.1.2.1.2.1.6 Varibaculum 0 304 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;unclassified 6 0.1.2.1.2.1.7 unclassified 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Actinospicaceae 5 0.1.2.1.2.2 Actinospicaceae 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Actinospicaceae;Actinospica 6 0.1.2.1.2.2.1 Actinospica 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Bogoriellaceae 5 0.1.2.1.2.3 Bogoriellaceae 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Bogoriellaceae;Georgenia 6 0.1.2.1.2.3.1 Georgenia 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Bogoriellaceae;unclassified 6 0.1.2.1.2.3.2 unclassified 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae 5 0.1.2.1.2.4 Brevibacteriaceae 1 930 0 0 0 0 0 4 0 1 0 0 0 0 0 4 0 0 0 0 0 1
Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium 6 0.1.2.1.2.4.1 Brevibacterium 0 930 0 0 0 0 0 4 0 1 0 0 0 0 0 4 0 0 0 0 0 1
Actinobacteria;Actinobacteria;Actinomycetales;Catenulisporaceae 5 0.1.2.1.2.5 Catenulisporaceae 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Catenulisporaceae;Catenulispora 6 0.1.2.1.2.5.1 Catenulispora 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae 5 0.1.2.1.2.6 Cellulomonadaceae 2 21 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Cellulomonas 6 0.1.2.1.2.6.1 Cellulomonas 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
